combination,R2,MSE
"['BattingAvg', 'OnBasePct', 'HomeRuns', 'StolenBases']",0.377417123949053,949116.6525512598
"['BattingAvg', 'OnBasePct', 'RBI', 'Walks']",0.43536395070337075,856220.8988795755
"['BattingAvg', 'OnBasePct', 'RBI', 'Strikeouts']",0.44597806052351413,836523.1959041343
"['BattingAvg', 'OnBasePct', 'RBI', 'StolenBases']",0.4348296491946561,854986.7975291017
"['BattingAvg', 'OnBasePct', 'Walks', 'Strikeouts']",0.35686359267853185,984897.6877944305
"['BattingAvg', 'OnBasePct', 'Walks', 'StolenBases']",0.35527798798805904,987709.206693612
"['BattingAvg', 'OnBasePct', 'Strikeouts', 'StolenBases']",0.21671060862367195,1196994.50931275
"['BattingAvg', 'Runs', 'Hits', 'Doubles']",0.37953538112054225,944572.1237050623
"['BattingAvg', 'Runs', 'Hits', 'Triples']",0.41228581475623133,898795.6451039489
"['BattingAvg', 'Runs', 'Hits', 'HomeRuns']",0.4369938008355204,856292.0455698976
"['BattingAvg', 'Runs', 'Hits', 'RBI']",0.43748055382098905,855031.3084310048
"['BattingAvg', 'Runs', 'Hits', 'Walks']",0.394712760239222,925488.8851320375
"['BattingAvg', 'Runs', 'Hits', 'Strikeouts']",0.39359944314755807,925103.0534761477
"['BattingAvg', 'Runs', 'Hits', 'StolenBases']",0.3961579831699898,923403.2457733445
"['BattingAvg', 'Runs', 'Doubles', 'Triples']",0.40144121039669345,914795.1275677175
"['BattingAvg', 'Runs', 'Doubles', 'HomeRuns']",0.42227033047758483,878654.0047233341
"['BattingAvg', 'Runs', 'Doubles', 'RBI']",0.4280689487818089,867771.8432943902
"['BattingAvg', 'Runs', 'Doubles', 'Walks']",0.3862900482913832,936525.6929991182
"['BattingAvg', 'Runs', 'Doubles', 'Strikeouts']",0.38635501487074164,934669.056187625
"['BattingAvg', 'Runs', 'Doubles', 'StolenBases']",0.38580448228301173,938252.5188216154
"['BattingAvg', 'Runs', 'Triples', 'HomeRuns']",0.4440587406405421,850427.3746063277
"['BattingAvg', 'Runs', 'Triples', 'RBI']",0.4438159336342748,845441.3420327961
"['BattingAvg', 'Runs', 'Triples', 'Walks']",0.4084289039228836,911127.3256549665
"['BattingAvg', 'Runs', 'Triples', 'Strikeouts']",0.421934023053014,887895.8469263262
"['BattingAvg', 'Runs', 'Triples', 'StolenBases']",0.4200517524133537,890911.4542963209
"['BattingAvg', 'Runs', 'HomeRuns', 'RBI']",0.4395101470455375,849260.4606712197
"['BattingAvg', 'Runs', 'HomeRuns', 'Walks']",0.4351369175096068,865014.7854580146
"['BattingAvg', 'Runs', 'HomeRuns', 'Strikeouts']",0.4800237260431895,794111.5134856334
"['BattingAvg', 'Runs', 'HomeRuns', 'StolenBases']",0.44141224584242955,853057.3124478941
